
2026-04-12 05:35:50,758|127.0.0.1 | DDOS_ATTACK | BLOCK
2026-04-12 05:35:50,930|127.0.0.1 | DDOS_ATTACK | BLOCK
2026-04-12 05:35:52,201|127.0.0.1 | DDOS_ATTACK | BLOCK
2026-04-12 05:35:52,480|127.0.0.1 | DDOS_ATTACK | BLOCK
2026-04-12 05:38:10,740|127.0.0.1 | AI_ANOMALY | BLOCK
2026-04-12 05:38:58,656|127.0.0.1 | AI_ANOMALY | BLOCK
2026-04-12 05:41:16,289|0.0.0.0 | SYSTEM_READY | AI_V8_ACTIVE
2026-04-12 05:42:03,399|109.107.224.16 | SQL_INJECTION | BLOCK
2026-04-12 05:42:04,375|109.107.224.16 | SQL_INJECTION | BLOCK
2026-04-12 05:42:05,326|109.107.224.16 | SQL_INJECTION | BLOCK
2026-04-12 05:42:06,307|109.107.224.16 | SQL_INJECTION | BLOCK
2026-04-12 05:42:07,333|109.107.224.16 | XSS_ATTACK | BLOCK
2026-04-12 05:42:08,317|109.107.224.16 | XSS_ATTACK | BLOCK
2026-04-12 05:42:09,283|109.107.224.16 | XSS_ATTACK | BLOCK
2026-04-12 05:42:10,283|109.107.224.16 | XSS_ATTACK | BLOCK
2026-04-12 05:42:11,264|109.107.224.16 | LFI_ATTEMPT | BLOCK
2026-04-12 05:42:12,240|109.107.224.16 | LFI_ATTEMPT | BLOCK
2026-04-12 05:42:13,326|109.107.224.16 | DDOS_ATTACK | BLOCK
2026-04-12 05:42:14,583|109.107.224.16 | DDOS_ATTACK | BLOCK
2026-04-12 05:42:15,610|109.107.224.16 | DDOS_ATTACK | BLOCK
2026-04-12 05:42:16,632|109.107.224.16 | DDOS_ATTACK | BLOCK
2026-04-12 05:42:17,609|109.107.224.16 | DDOS_ATTACK | BLOCK
2026-04-14 13:55:00,495|0.0.0.0 | SYSTEM_READY | AI_V8_ACTIVE
2026-04-14 13:56:28,584|127.0.0.1 | ADMIN_SUCCESS | ALLOW
2026-04-14 13:59:10,617|91.186.251.181 | SQL_INJECTION | BLOCK
2026-04-14 13:59:11,795|91.186.251.181 | SQL_INJECTION | BLOCK
2026-04-14 13:59:12,873|91.186.251.181 | SQL_INJECTION | BLOCK
2026-04-14 13:59:13,985|91.186.251.181 | SQL_INJECTION | BLOCK
2026-04-14 13:59:15,116|91.186.251.181 | XSS_ATTACK | BLOCK
2026-04-14 13:59:16,175|91.186.251.181 | XSS_ATTACK | BLOCK
2026-04-14 13:59:17,266|91.186.251.181 | XSS_ATTACK | BLOCK
2026-04-14 13:59:18,299|91.186.251.181 | XSS_ATTACK | BLOCK
2026-04-14 13:59:19,329|91.186.251.181 | LFI_ATTEMPT | BLOCK
2026-04-14 13:59:20,415|91.186.251.181 | LFI_ATTEMPT | BLOCK
2026-04-14 13:59:21,695|91.186.251.181 | DDOS_ATTACK | BLOCK
2026-04-14 13:59:22,826|91.186.251.181 | DDOS_ATTACK | BLOCK
2026-04-14 13:59:24,090|91.186.251.181 | DDOS_ATTACK | BLOCK
2026-04-14 13:59:25,364|91.186.251.181 | DDOS_ATTACK | BLOCK
2026-04-14 13:59:26,486|91.186.251.181 | DDOS_ATTACK | BLOCK
2026-04-20 13:17:11,566|0.0.0.0 | SYSTEM_READY | AI_V8_ACTIVE
2026-04-20 13:18:19,803|127.0.0.1 | ADMIN_SUCCESS | ALLOW
